t,t1,t2,t3,t4,hour_sin,hour_cos,dayofweek,target
80.0,60.0,93.0,102.0,106.0,0.13052619222005157,0.9914448613738104,2,90.0
92.0,120.0,102.0,92.0,96.0,-0.7518398074789772,0.6593458151000691,1,90.0
158.0,158.0,190.0,136.0,138.0,-0.555570233019602,-0.8314696123025455,3,133.0
32.0,39.0,47.0,56.0,42.0,-0.9807852804032304,0.1950903220161283,5,68.0
143.0,160.0,176.0,132.0,150.0,-0.9762960071199335,0.21643961393810246,4,142.0
59.0,63.0,84.0,87.0,94.0,1.0,6.123233995736766e-17,5,49.0
106.0,110.0,115.0,107.0,115.0,-0.9537169507482268,0.30070579950427345,6,106.0
38.0,37.0,52.0,37.0,37.0,0.46174861323503397,0.8870108331782217,1,37.0
39.0,39.0,40.0,40.0,41.0,0.3420201433256687,0.9396926207859084,4,37.0
121.0,120.0,132.0,100.0,99.0,0.8968727415326884,-0.44228869021900113,4,76.0
34.0,35.0,37.0,38.0,40.0,0.6087614290087207,0.7933533402912352,5,33.0
126.0,121.0,108.0,123.0,121.0,0.6427876096865393,0.766044443118978,6,99.0
111.0,94.0,104.0,96.0,99.0,0.7518398074789774,-0.6593458151000688,2,90.0
56.0,59.0,39.0,42.0,44.0,0.9997620270799091,0.021814885034560937,6,76.0
99.0,76.0,84.0,93.0,78.0,-0.9469301294951057,0.3214394653031615,6,74.0
20.0,19.0,9.0,8.0,19.0,0.6593458151000688,0.7518398074789774,3,27.0
56.0,48.0,58.0,61.0,63.0,0.8549118706729465,0.5187732581605216,6,46.0
81.0,71.0,68.0,76.0,88.0,-0.38268343236508956,0.9238795325112868,1,79.0
86.0,89.0,92.0,100.0,105.0,-0.10886687485196514,0.9940563382223195,2,86.0
118.0,122.0,124.0,105.0,120.0,-0.9762960071199335,0.21643961393810246,0,110.0
115.0,98.0,106.0,100.0,80.0,0.9978589232386035,-0.06540312923014314,0,116.0
149.0,140.0,136.0,149.0,150.0,-0.9978589232386035,-0.06540312923014273,3,133.0
35.0,35.0,35.0,35.0,35.0,-0.043619387365336194,0.9990482215818578,3,35.0
29.0,35.0,22.0,19.0,35.0,-0.32143946530316186,0.9469301294951056,1,21.0
120.0,121.0,115.0,124.0,141.0,-0.8433914458128857,0.5372996083468239,6,122.0
21.0,24.0,13.0,27.0,31.0,0.8767267557075077,0.48098876891938774,4,30.0
79.0,71.0,78.0,77.0,82.0,0.13052619222005157,0.9914448613738104,0,71.0
0.0,0.0,0.0,0.0,0.0,0.9961946980917455,-0.08715574274765801,6,0.0
70.0,74.0,92.0,83.0,96.0,-0.0654031292301428,0.9978589232386035,4,77.0
24.0,23.0,31.0,43.0,28.0,0.25881904510252074,0.9659258262890683,0,20.0
76.0,109.0,108.0,113.0,117.0,-0.8549118706729468,0.5187732581605211,2,90.0
1.0,0.0,0.0,0.0,0.0,-0.08715574274765743,0.9961946980917455,6,5.0
131.0,120.0,107.0,117.0,117.0,0.7933533402912352,0.6087614290087207,4,128.0
120.0,146.0,114.0,106.0,137.0,0.8191520442889917,-0.5735764363510462,6,101.0
71.0,67.0,65.0,70.0,65.0,0.23768589232617307,0.9713420698132614,1,55.0
31.0,30.0,23.0,26.0,31.0,0.13052619222005157,0.9914448613738104,0,20.0
57.0,70.0,66.0,71.0,58.0,-0.48098876891938774,0.8767267557075077,3,63.0
101.0,143.0,107.0,148.0,129.0,-0.8968727415326883,-0.44228869021900136,6,145.0
95.0,108.0,100.0,109.0,84.0,0.9600498543859287,0.27982901403099203,4,96.0
36.0,46.0,50.0,47.0,65.0,0.3826834323650898,0.9238795325112867,4,46.0
97.0,92.0,84.0,75.0,94.0,-0.1736481776669304,0.984807753012208,3,106.0
103.0,108.0,106.0,100.0,95.0,0.984807753012208,-0.1736481776669303,6,114.0
60.0,70.0,67.0,61.0,69.0,0.5913096483635824,0.8064446042674827,1,64.0
110.0,69.0,50.0,64.0,63.0,0.9961946980917455,0.08715574274765814,3,72.0
64.0,67.0,64.0,63.0,54.0,0.7933533402912352,0.6087614290087207,2,62.0
64.0,76.0,73.0,69.0,83.0,-0.6755902076156598,0.7372773368101244,3,76.0
29.0,40.0,31.0,34.0,36.0,0.44228869021900125,0.8968727415326884,5,31.0
96.0,96.0,107.0,104.0,129.0,-0.25881904510252157,0.9659258262890681,5,115.0
0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,6,0.0
79.0,79.0,81.0,90.0,95.0,-0.923879532511287,0.38268343236508917,0,76.0
104.0,109.0,143.0,112.0,120.0,-0.8191520442889918,0.573576436351046,3,108.0
93.0,93.0,80.0,101.0,92.0,0.7933533402912352,0.6087614290087207,1,86.0
42.0,43.0,47.0,46.0,46.0,0.3420201433256687,0.9396926207859084,0,44.0
95.0,93.0,93.0,100.0,107.0,0.659345815100069,-0.7518398074789773,0,88.0
25.0,26.0,20.0,22.0,19.0,0.9914448613738104,0.1305261922200517,6,18.0
0.0,0.0,4.0,0.0,0.0,0.6427876096865393,0.766044443118978,0,0.0
63.0,69.0,71.0,73.0,78.0,-0.887010833178222,0.46174861323503325,3,58.0
84.0,133.0,87.0,87.0,114.0,1.2246467991473532e-16,-1.0,2,84.0
65.0,60.0,67.0,80.0,51.0,0.9537169507482268,0.3007057995042733,5,64.0
68.0,24.0,87.0,33.0,24.0,0.02181488503456112,0.9997620270799091,2,15.0
16.0,23.0,18.0,23.0,24.0,0.3826834323650898,0.9238795325112867,1,22.0
31.0,36.0,10.0,30.0,25.0,0.737277336810124,0.6755902076156604,0,41.0
84.0,73.0,68.0,67.0,76.0,0.9990482215818578,-0.04361938736533589,0,77.0
5.0,7.0,13.0,14.0,6.0,0.6915130557822694,0.7223639620597556,1,9.0
78.0,80.0,82.0,85.0,89.0,-0.36243803828370186,0.9320078692827984,3,76.0
17.0,15.0,21.0,15.0,22.0,0.7518398074789774,0.6593458151000688,6,19.0
46.0,40.0,46.0,29.0,45.0,-0.625923472184059,0.7798844830928818,1,36.0
101.0,93.0,96.0,100.0,90.0,-0.06540312923014287,-0.9978589232386035,0,99.0
60.0,80.0,72.0,61.0,47.0,0.9883615104677607,0.1521233861899168,1,80.0
108.0,89.0,101.0,95.0,101.0,-0.9713420698132614,0.23768589232617307,6,97.0
6.0,1.0,3.0,14.0,7.0,0.49999999999999994,0.8660254037844387,2,8.0
19.0,20.0,21.0,22.0,21.0,0.23768589232617307,0.9713420698132614,2,17.0
54.0,54.0,62.0,56.0,40.0,-0.537299608346825,0.8433914458128849,2,47.0
91.0,100.0,77.0,81.0,93.0,-0.9961946980917455,-0.08715574274765825,3,73.0
38.0,46.0,56.0,46.0,46.0,0.10886687485196457,0.9940563382223196,6,42.0
61.0,65.0,53.0,59.0,66.0,-0.10886687485196514,0.9940563382223195,6,68.0
29.0,33.0,39.0,36.0,33.0,0.766044443118978,0.6427876096865394,0,31.0
103.0,94.0,98.0,114.0,106.0,0.6427876096865393,0.766044443118978,0,103.0
22.0,24.0,31.0,33.0,34.0,-0.2798290140309924,0.9600498543859286,3,22.0
81.0,79.0,89.0,77.0,79.0,0.17364817766693033,0.984807753012208,1,90.0
133.0,118.0,114.0,114.0,114.0,0.9537169507482269,-0.30070579950427295,4,140.0
18.0,11.0,10.0,22.0,16.0,0.4226182617406994,0.9063077870366499,2,7.0
61.0,49.0,52.0,63.0,63.0,-0.38268343236508956,0.9238795325112868,3,51.0
51.0,62.0,49.0,51.0,53.0,0.02181488503456112,0.9997620270799091,5,38.0
163.0,155.0,124.0,163.0,142.0,-0.5735764363510465,0.8191520442889916,1,126.0
37.0,32.0,52.0,49.0,41.0,0.5913096483635824,0.8064446042674827,2,54.0
21.0,34.0,30.0,28.0,21.0,0.36243803828370164,0.9320078692827986,5,28.0
39.0,39.0,44.0,28.0,38.0,-0.0218148850345609,0.9997620270799091,1,22.0
4.0,9.0,9.0,7.0,15.0,0.27982901403099203,0.9600498543859287,4,7.0
23.0,20.0,35.0,16.0,38.0,-0.08715574274765743,0.9961946980917455,6,17.0
113.0,101.0,99.0,90.0,87.0,0.7660444431189783,-0.642787609686539,6,126.0
135.0,160.0,156.0,130.0,128.0,-0.08715574274765794,-0.9961946980917455,4,138.0
74.0,62.0,70.0,63.0,68.0,0.3214394653031616,0.9469301294951057,6,78.0
36.0,44.0,38.0,36.0,52.0,0.6593458151000688,0.7518398074789774,5,34.0
33.0,33.0,45.0,30.0,41.0,0.17364817766693033,0.984807753012208,2,41.0
52.0,71.0,58.0,99.0,79.0,-0.30070579950427384,0.9537169507482267,4,75.0
88.0,106.0,94.0,67.0,96.0,0.9063077870366498,0.4226182617406996,5,89.0
16.0,25.0,15.0,19.0,10.0,0.40274668985873724,0.9153114791194471,3,11.0
48.0,37.0,43.0,36.0,53.0,-0.6915130557822698,0.7223639620597551,6,42.0
44.0,76.0,64.0,70.0,36.0,-0.30070579950427306,-0.9537169507482269,6,97.0
